"AllTengwar","OOtehtaShift","UUtehtaShift","EEtehtaShift","DownEEtehtaShift","DblUnderStrokeShift","AtehtaShift","DownAtehtaShift","YtehtaShift","DownYtehtaShift","ItehtaShift","DownItehtaShift","EtehtaShift","DownEtehtaShift","OtehtaShift","UtehtaShift","ThinnasShift","DotinsideShift","UnderbarShift","InvAtehtaShift","OverbarShift","EngYtehtaShift","RevEtehtaShift","YantatehtaShift","Underliners","UptehtaCliche"
"whtengwa.var1","ootehta","uutehta","eetehta","downeetehta.norm19","dblunderstroke.norm19","atehta.norm","downatehta.norm19","ytehta.norm","downytehta.norm19","itehta.norm","downitehta.norm19","etehta.norm","downetehta.norm18","otehta.norm","utehta","thinnas.norm19","dotinside.norm21","underbar.norm20","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline57","uptehtacliche_norm"
"whtengwa.var2","ootehta","uutehta","eetehta","downeetehta.norm19","dblunderstroke.norm19","atehta.norm","downatehta.norm19","ytehta.norm","downytehta.norm19","itehta.norm","downitehta.norm19","etehta.norm","downetehta.norm18","otehta.norm","utehta","thinnas.norm19","dotinside","underbar.norm20","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline58","uptehtacliche_norm"
"mhtengwa","ootehta.wide29","uutehta.norm29","eetehta.norm30","downeetehta.norm35","dblunderstroke.norm35","atehta.norm30","downatehta.norm35","ytehta.norm30","downytehta.narrow35","itehta.norm30","downitehta.norm35","etehta.norm29","downetehta.norm33","otehta.wide29","utehta.norm29","thinnas.norm36","dotinside","underbar.norm","invatehta.norm30","overbar.wide30","engytehta.wide30","revetehta.norm30","yantatehta.norm30","uline59","uptehtacliche_ando"
"beleriandicmh","ootehta.norm20","uutehta.norm19","eetehta.norm20","downeetehta.norm","dblunderstroke.norm","atehta.norm20","downatehta.norm","ytehta.norm20","downytehta.norm","itehta.norm20","downitehta.norm","etehta.norm20","downetehta.norm","otehta.wide26","utehta.norm19","thinnas.norm","dotinside.cond20","underbar.norm","invatehta.norm20","overbar.norm20","engytehta.norm20","revetehta.norm20","yantatehta.norm20","uline60","uptehtacliche_tinco"
"angwhtengwa","ootehta.norm14","uutehta.norm09","eetehta.norm11","downeetehta.norm15","dblunderstroke.norm15","atehta.norm10","downatehta.norm15","ytehta.narrow10","downytehta.norm15","itehta.norm10","downitehta.norm15","etehta.norm15","downetehta.narrow12","otehta.norm07","utehta.norm09","thinnas.norm15","dotinside","underbar.norm20","invatehta.norm11","overbar.norm","engytehta.norm11","revetehta.norm11","yantatehta.norm11","uline61","uptehtacliche_carr"
"vaiya","ootehta.norm20","uutehta.norm20","eetehta.norm20","downeetehta.norm20","dblunderstroke.norm20","atehta.norm20","downatehta.norm20","ytehta.norm20","downytehta.norm20","itehta.norm20","downitehta.norm20","etehta.norm20","downetehta.norm18","otehta.wide26","utehta.norm21","thinnas.norm21","dotinside.cond20","underbar.norm21","invatehta.norm25","overbar.norm","engytehta.wide25","revetehta.norm25","yantatehta.norm25","uline62","uptehtacliche_lambe"
"sarince","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline63","uptehtacliche_norm"
"sarince.high","ootehta.norm18","uutehta.norm18","eetehta.norm18","downeetehta.norm","dblunderstroke.norm","atehta.norm19","downatehta.norm","ytehta.norm19","downytehta.norm","itehta.norm19","downitehta.norm","etehta.norm19","downetehta.norm","otehta.norm","utehta.norm17","thinnas.norm19","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline64","uptehtacliche_norm"
"tinco.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm19","dotinside.norm19","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline65","uptehtacliche_norm"
"parma.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm19","dotinside.cond20","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline65","uptehtacliche_norm"
