"AllTengwar","OOtehtaShift","UUtehtaShift","EEtehtaShift","DownEEtehtaShift","DblUnderStrokeShift","AtehtaShift","DownAtehtaShift","YtehtaShift","DownYtehtaShift","ItehtaShift","DownItehtaShift","EtehtaShift","DownEtehtaShift","OtehtaShift","UtehtaShift","ThinnasShift","DotinsideShift","UnderbarShift","InvAtehtaShift","OverbarShift","EngYtehtaShift","RevEtehtaShift","YantatehtaShift","Underliners","UptehtaCliche"
"longcarr.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline74","uptehtacliche_norm"
"halla.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm12","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline75","uptehtacliche_norm"
"shortcarr.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm12","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline75","uptehtacliche_norm"
"openanna.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm26","dotinside.norm30","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline76","uptehtacliche_norm"
"hyarmen.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm28","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline77","uptehtacliche_norm"
"yanta.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm26","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline77","uptehtacliche_norm"
"lambe.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.wide26","utehta.norm","thinnas.norm","dotinside","underbar.norm","invatehta.norm25","overbar.lambe","engytehta.wide25","revetehta.norm25","yantatehta.norm25","uline78","uptehtacliche_lambe"
"alda.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm30","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline79","uptehtacliche_norm"
"atengwa.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm18","dotinside.norm14","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline57","uptehtacliche_norm"
"mhtengwa.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm36","dotinside","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline80","uptehtacliche_norm"
"beleriandicmh.dec","ootehta.norm","uutehta.norm","eetehta.norm","downeetehta.norm","dblunderstroke.norm","atehta.norm","downatehta.norm","ytehta.norm","downytehta.norm","itehta.norm","downitehta.norm","etehta.norm","downetehta.norm","otehta.norm","utehta.norm","thinnas.norm27","dotinside.cond24","underbar.norm","invatehta.norm","overbar.norm","engytehta.norm","revetehta.norm","yantatehta.norm","uline81","uptehtacliche_norm"
